generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,api_key_disabled
gen-1787608818-yLlwE8gvhuB6KRbuPNjY,2026-08-24 22:00:18.189,0.000153,,,,0,264,84,67,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,2373,2230,Hermes Agent,sample-agent-key,false
gen-1787608808-b8NroLibUcDiQcP0DfO2,2026-08-24 22:00:08.247,0.001641,,-0.006331,,0,35985,647,0,35351,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,9722,2954,Hermes Agent,sample-agent-key,false
gen-1787608797-jEvYBO7EaTy3F0otqV3G,2026-08-24 21:59:57.786,0.000151,,,,0,348,68,59,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,3213,3115,Hermes Agent,sample-agent-key,false
gen-1787608793-mIoyyGlBTbMlWD4wLs4n,2026-08-24 21:59:53.387,0.003438,,-0.003827,,0,35354,163,104,24326,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4182,3756,Hermes Agent,sample-agent-key,false
gen-1787608784-raWEdxDp3y6hxe6JLtbd,2026-08-24 21:59:44.963,0.002675,,-0.002558,,0,24329,306,65,16410,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4309,4164,Hermes Agent,sample-agent-key,false
gen-1787608779-H8XOo2VuSSVu4YFPYEeQ,2026-08-24 21:59:39.563,0.001042,,-0.002566,,0,16413,272,30,14724,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4176,2670,Hermes Agent,sample-agent-key,false
gen-1787608774-zXQw6edu61GinwQScTos,2026-08-24 21:59:34.386,0.000386,,-0.002625,,0,14727,55,24,14615,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,3848,2808,Hermes Agent,sample-agent-key,false
gen-1787608769-yrrjg2fOXHjDCuP5r21J,2026-08-24 21:59:29.747,0.003787,,0.00073,,0,14618,111,51,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,3670,2782,Hermes Agent,sample-agent-key,false
gen-1787569323-y7h7udryFPXQ6i3vwp3y,2026-08-24 11:02:03.561,0.000792,,-0.003856,,0,20218,152,78,19638,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,4504,3546,Hermes Agent,sample-agent-key,false
gen-1787569318-q9ZTjhn1MimJAOBDIvkM,2026-08-24 11:01:58.190,0.000926,,-0.003662,,0,19641,203,10,18747,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4936,4656,Hermes Agent,sample-agent-key,false
gen-1787569313-pQFaSZMWFpnTSzUiy4oo,2026-08-24 11:01:53.463,0.000955,,-0.003297,,0,18750,97,25,17109,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,4020,2779,Hermes Agent,sample-agent-key,false
gen-1787569309-wbtEj3paxsPVT3719P3n,2026-08-24 11:01:49.211,0.000836,,-0.003036,,0,17112,82,18,15722,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,3412,2510,Hermes Agent,sample-agent-key,false
gen-1787569241-fCLAH0H5Y9S8pWofVzo1,2026-08-24 11:00:41.949,0.001086,,-0.002671,,0,15725,226,75,13976,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,5307,4222,Hermes Agent,sample-agent-key,false
gen-1787569234-Oaizf4S1oI3Ho4Iqjhx7,2026-08-24 11:00:34.672,0.003961,,0.000768,,0,13979,89,58,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,5193,3931,Hermes Agent,sample-agent-key,false
gen-1787482818-cbj8aMxC1gQbyx9xcYEn,2026-08-23 11:00:18.019,0.000584,,-0.003128,,0,15995,147,34,15843,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,5590,2476,Hermes Agent,sample-agent-key,false
gen-1787482816-oKE0Bqqi6pIlnJsjKr9O,2026-08-23 11:00:16.783,0.000076,,,,0,306,7,0,0,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,stop,1040,974,Hermes Agent,sample-agent-key,false
gen-1787482812-5CfXLidBbFOyVHzKZMK8,2026-08-23 11:00:12.897,0.000503,,-0.003107,,0,15846,95,19,15728,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,3611,2612,Hermes Agent,sample-agent-key,false
gen-1787482808-Mji889HJYEXZxkIwvkms,2026-08-23 11:00:08.975,0.000896,,-0.00267,,0,15731,81,26,13976,openai/gpt-5.6-luna-20260709,Azure,standard,false,true,,completed,tool_calls,3409,2480,Hermes Agent,sample-agent-key,false
