generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1789440611-PYwyPe1NyngkuunkfgAD,2026-09-15 02:50:11.806,0.012349,,,,0,204362,733,0,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,22940,11337,false,hermes-ppn,Hermes Agent
gen-1789440593-O16i4Z5FLuKkeoAi6sbK,2026-09-15 02:49:53.824,0.011347,,,,0,188687,215,177,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,12347,7962,false,hermes-ppn,Hermes Agent
gen-1789083720-TfUAAQ9RjB1fDiRpKPv3,2026-09-10 23:42:00.973,0.012267,,,,0,188376,128,0,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,28128,18978,false,hermes-ppn,Hermes Agent
gen-1789083550-cdVVhjS8q0IhbaLIjDn4,2026-09-10 23:39:10.659,0.003244,,-0.009094,,0,187763,748,81,185600,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,32595,2089,false,hermes-ppn,Hermes Agent
gen-1789083534-5txDmHgpptD4PeeQ2bzj,2026-09-10 23:38:54.525,0.003056,,-0.009044,,0,185623,195,0,184576,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,10007,3061,false,hermes-ppn,Hermes Agent
gen-1789083497-9WM6LtATdvfSHMr2ZUhT,2026-09-10 23:38:17.066,0.01203,,,,0,184821,93,0,0,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,10440,8389,false,hermes-ppn,Hermes Agent
gen-1789083477-ykmbAWoRcl3XnUx3wmEP,2026-09-10 23:37:57.317,0.010987,,-0.000069,,0,183684,196,74,1536,deepseek/deepseek-v4-flash-20260731,DeepInfra,standard,false,true,,tool_calls,tool_calls,12309,7710,false,hermes-ppn,Hermes Agent
gen-1788973541-JXhnKkXg6C8v7p5aAUqy,2026-09-09 17:05:41.738,0.003156,,-0.008931,,0,183732,806,0,182272,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,stop,stop,20529,4717,false,hermes-ppn,Hermes Agent
gen-1788973538-zjd1ti9A8wxBJDUilm5Z,2026-09-09 17:05:38.255,0.000084,,,,0,455,4,0,0,meta-llama/llama-4-scout-17b-16e-instruct,Novita,standard,false,true,,stop,stop,1475,1474,false,hermes-ppn,Hermes Agent
gen-1788973528-tpooxBjnigLPw4jNlger,2026-09-09 17:05:28.946,0.002979,,-0.008918,,0,182372,247,0,182016,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,8107,1097,false,hermes-ppn,Hermes Agent
